GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,NAME_M,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017
"G12005700061014","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006101","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 61.01, Hillsborough County, Florida",592,15,16,18,0,54,9,47,19,7,51,80,81,21,9,38,127,"Block Group 4, Census Tract 61.01, Hillsborough County, Florida",103,18,19,20,13,56,15,53,22,13,33,60,63,23,14,30,55
"G12005700061031","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 61.03, Hillsborough County, Florida",191,0,0,17,0,11,10,0,0,0,14,29,31,0,37,0,42,"Block Group 1, Census Tract 61.03, Hillsborough County, Florida",86,13,13,28,13,18,17,13,13,13,22,32,41,13,40,13,68
"G12005700061032","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 61.03, Hillsborough County, Florida",279,5,0,0,14,14,65,9,16,12,0,15,32,32,0,9,56,"Block Group 2, Census Tract 61.03, Hillsborough County, Florida",100,11,13,13,22,21,76,15,27,21,13,28,33,48,13,21,56
"G12005700061033","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 61.03, Hillsborough County, Florida",385,0,20,0,0,0,0,0,11,14,47,15,68,66,0,41,103,"Block Group 3, Census Tract 61.03, Hillsborough County, Florida",93,13,32,13,13,13,13,13,21,23,56,29,62,48,13,40,63
"G12005700061034","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 61.03, Hillsborough County, Florida",301,9,22,105,54,14,2,49,0,0,0,46,0,0,0,0,0,"Block Group 4, Census Tract 61.03, Hillsborough County, Florida",113,16,35,91,46,23,19,59,13,13,13,77,13,13,13,13,13
"G12005700061035","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 61.03, Hillsborough County, Florida",550,68,0,26,40,0,19,23,20,0,30,27,144,45,43,30,35,"Block Group 5, Census Tract 61.03, Hillsborough County, Florida",156,72,13,30,47,13,30,30,36,13,35,31,128,44,52,41,41
"G12005700061036","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006103","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 61.03, Hillsborough County, Florida",469,22,0,0,0,0,17,20,0,0,14,33,82,12,41,94,134,"Block Group 6, Census Tract 61.03, Hillsborough County, Florida",109,37,13,13,13,13,28,33,13,13,22,39,63,22,50,55,79
"G12005700062001","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 62, Hillsborough County, Florida",328,21,28,9,17,16,13,0,5,0,29,0,31,40,0,77,42,"Block Group 1, Census Tract 62, Hillsborough County, Florida",79,25,44,15,26,17,21,13,8,13,40,13,26,37,13,45,32
"G12005700062002","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 62, Hillsborough County, Florida",515,23,9,0,0,0,45,10,33,0,0,43,68,90,60,84,50,"Block Group 2, Census Tract 62, Hillsborough County, Florida",99,23,14,13,13,13,59,18,32,13,13,31,53,63,63,58,35
"G12005700062003","2013-2017",,,"Florida","12","Hillsborough County","057",,,"006200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 62, Hillsborough County, Florida",418,0,0,8,0,0,0,10,0,39,11,50,25,41,26,66,142,"Block Group 3, Census Tract 62, Hillsborough County, Florida",71,13,13,14,13,13,13,16,13,34,17,36,27,35,25,43,67
